SIT:<name>;MET:<name>;CHN:<channelID>;CHN:<TspDataType>;CHN:<unit>
Chemistry 1 and 2;Chiller Roof Level (#4);sk-bio-101-sip2.ad.ic.ac.uk_Device_16;Energy Consumption;kWh
Bone and Roderic Hill;Circuit A5 Busbar Riser Bone Building;sk-ace-102-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Library;College Block Library Interconnector S8/2;sk-she-101-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Huxley;Computer Centre Hux_221 IT Supply A;sk-hux-101-sip1.ad.ic.ac.uk_Device_4;Energy Consumption;kWh
Huxley;Computer Centre Hux_221 Mech Supply B;sk-hux-101-sip1.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
Huxley;Computer Centre Hux_221 IT Supply C;sk-hux-101-sip1.ad.ic.ac.uk_Device_6;Energy Consumption;kWh
Data Centre;DB-AC in Plantroom A3;sk-mec-104-sip1.ad.ic.ac.uk_Device_3;Energy Consumption;kWh
Data Centre;PDU 2 Switch K2;sk-mec-104-sip2.ad.ic.ac.uk_Device_6;Energy Consumption;kWh
Dyson SoE;Dyson School Of Engineering Supply A;sk-rcs-101-sip1.ad.ic.ac.uk_Device_20;Energy Consumption;kWh
Dyson SoE;Dyson School Of Engineering Supply B;sk-rcs-101-sip1.ad.ic.ac.uk_Device_21;Energy Consumption;kWh
Eastside Hall;Eastside Sub Panel ACB43;sk-est-101-sip2.ad.ic.ac.uk_Device_1;Energy Consumption;kWh
Faculty;Faculty Building;sk-mec-102-sip2.ad.ic.ac.uk_Device_5;Energy Consumption;kWh
Bone and Roderic Hill;Honda Wind Tunnel Master;sk-ace-102-sip3.ad.ic.ac.uk_Device_15;Energy Consumption;kWh
Bone and Roderic Hill;Honda Wind Tunnel Slave;sk-ace-102-sip3.ad.ic.ac.uk_Device_18;Energy Consumption;kWh
Library;Library Interconnector ACB162;sk-bio-101-sip1.ad.ic.ac.uk_Device_17;Energy Consumption;kWh
Data Centre;ICT Greenwing Switch M2;sk-mec-104-sip2.ad.ic.ac.uk_Device_15;Energy Consumption;kWh
Data Centre;Mechanical Plant MCC A7;sk-mec-104-sip1.ad.ic.ac.uk_Device_7;Energy Consumption;kWh
